PWSID,sys_name,agency,county,service_cxns_update,DAC_status,survey_start,survey_submit,survey1A_start,survey1A_submitted,app_started,app_complete,program_need_update,contact_priority,opp_contact_date,follow_up_date,total_arr_reported,ac_name_update,ac_email_update,ac_phone_update,agg_reporting,agg_PWSID,umbrella_org,survey_PWSIDs,TA_requested,reporter_name,reporter_email,reporter_phone
CA3200104,GRIZZLY LAKE CSD-DELLEKER,DISTRICT 02 - LASSEN,PLUMAS,350,NA,Y,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,10832,PAT GUILLORY,patglcsd@gmail.com,530-832-5225,No,NA,NA,NA,NA,Patricia Guillory,patglcsd@gmail.com,530-832-5225
CA3310049,WESTERN MWD - MURRIETA DIVISION,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2828,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,643726.07,PAUL RUGGE,PRugge@wmwd.com,951-789-5155,Yes,CA3310036,Western Municipal Water District,CA3310049; CA3310036; CA3310076,NA,Kevin Mascaro,kmascaro@wmwd.com,951-571-7160
CA3310076,WESTERN MWD - MURRIETA DIVISION,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2828,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,643726.07,PAUL RUGGE,PRugge@wmwd.com,951-789-5155,Yes,CA3310036,Western Municipal Water District,CA3310049; CA3310036; CA3310076,NA,Kevin Mascaro,kmascaro@wmwd.com,951-571-7160
CA1910240,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,32179,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,651960.88,KEITH ABERCROMBIE,KABERCROMBIE@SCVWA.ORG,661-388-4934,Yes,CA1910017,Santa Clarita Valley Water Agency,CA1910017; CA1910240; CA1910247; CA1910096; CA1910250; CA1910255; CA1910048,NA,Ryan Bye,rbye@scvwa.org,NA
CA1910247,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,32179,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,651960.88,KEITH ABERCROMBIE,KABERCROMBIE@SCVWA.ORG,661-388-4934,Yes,CA1910017,Santa Clarita Valley Water Agency,CA1910017; CA1910240; CA1910247; CA1910096; CA1910250; CA1910255; CA1910048,NA,Ryan Bye,rbye@scvwa.org,NA
CA1910096,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,32179,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,651960.88,KEITH ABERCROMBIE,KABERCROMBIE@SCVWA.ORG,661-388-4934,Yes,CA1910017,Santa Clarita Valley Water Agency,CA1910017; CA1910240; CA1910247; CA1910096; CA1910250; CA1910255; CA1910048,NA,Ryan Bye,rbye@scvwa.org,NA
CA1910250,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,32179,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,651960.88,KEITH ABERCROMBIE,KABERCROMBIE@SCVWA.ORG,661-388-4934,Yes,CA1910017,Santa Clarita Valley Water Agency,CA1910017; CA1910240; CA1910247; CA1910096; CA1910250; CA1910255; CA1910048,NA,Ryan Bye,rbye@scvwa.org,NA
CA1910255,SANTA CLARITA VALLEY W.A.-SANTA CLARITA,DISTRICT 22 - ANGELES,LOS ANGELES,32179,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,651960.88,KEITH ABERCROMBIE,KABERCROMBIE@SCVWA.ORG,661-388-4934,Yes,CA1910017,Santa Clarita Valley Water Agency,CA1910017; CA1910240; CA1910247; CA1910096; CA1910250; CA1910255; CA1910048,NA,Ryan Bye,rbye@scvwa.org,NA
CA4410002,SAN LORENZO VALLEY WATER DIST,DISTRICT 05 - MONTEREY,SANTA CRUZ,6469,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,170156.61,RICHARD ROGERS,rrogers@slvwd.com,831-430-4624,Yes,CA4410014,SAN LORENZO VALLEY WATER DISTRICT,CA4410002; CA4410014,Y,Kendra Reed,kreed@slvwd.com,831-430-4621
CA3610041,SAN GABRIEL VALLEY WATER CO.-EL MONTE,DISTRICT 22 - ANGELES,LOS ANGELES,46080,NA,Y - Ag,Y,NA,NA,Yes,Yes,Yes,NA,NA,NA,2289354,ROBERT DIPRIMIO,RJDIPRIMIO@SGVWATER.COM,626-448-6183,Yes,CA1910039,San Gabriel Valley Water Company,CA1910039; CA3610041; CA1910189,NA,Hai-Van Nguyen,htnguyen@sgvwater.com,626-448-6183
