PWSID,System Name,Agency,County,Population,Service Connections,DAC Status,Survey requested funding,Survey estimated adjusted arrears,Survey 1A start?,Survey 1A complete?,App started?,App complete?,Program need?,OPP contact date,Follow up date,AC Name,AC Email,AC Phone,Aggregate reporting?,Aggregate PWSIDs,Umbrella Org,Technical assistance requested?,Reporter Name,Reporter Email,Reporter Phone
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,86895,24535,Non-DAC,NA,0,NA,NA,No,No,Yes,10/8/2021,DDW,DAN MARTIN,DMartin@dsrsd.com,925-875-2367,NA,NA,NA,NA,Kelly Richards,richards@dsrsd.com,925-875-2227
CA0410007,PARADISE IRRIGATION DISTRICT,DISTRICT 21 - VALLEY,BUTTE,4600,2369,SDAC,93763.46,0,NA,NA,No,No,Yes,NA,12/1/2021,TOM LANDO,tlando@paradiseirrigation.com,530-876-2034,NA,NA,NA,Y,Miranda Hillskemper,mhillskemper@paradiseirrigation.com,530-876-2036
CA0510003,"ANGELS, CITY OF",DISTRICT 10 - STOCKTON,CALAVERAS,3836,1847,DAC,106000,83182.39,NA,NA,No,No,Yes,NA,12/1/2021,MELISSA EADS,melissaeads@angelscamp.gov,209-736-2181,NA,NA,NA,Y,Christopher O'Flinn,chrisoflinn@angelscamp.gov,NA
CA0510006,CCWD - JENNY LIND,DISTRICT 10 - STOCKTON,CALAVERAS,9592,3819,DAC,58780.96,58750.96,NA,NA,No,No,Yes,NA,12/1/2021,JESSE HAMPTON,jesseh@ccwd.org,209-754-3316,NA,NA,NA,NA,Jesse Hampton,jesseh@ccwd.org,209-754-3316
CA0510016,CCWD - EBBETTS PASS,DISTRICT 10 - STOCKTON,CALAVERAS,12484,5981,SDAC,34262.34,34262.34,NA,NA,No,No,Yes,NA,12/1/2021,JESSE HAMPTON,jesseh@ccwd.org,209-754-3316,NA,NA,NA,NA,Jesse Hampton,jesseh@ccwd.org,209-754-3316
CA0510005,CCWD - WEST POINT,DISTRICT 10 - STOCKTON,CALAVERAS,988,577,SDAC,19337.73,19337.73,NA,NA,No,No,Yes,NA,12/1/2021,JESSE HAMPTON,jesseh@ccwd.org,209-754-3316,NA,NA,NA,NA,Jesse Hampton,jesseh@ccwd.org,209-754-3316
CA0510001,UNION PUBLIC UTILITY DISTRICT,DISTRICT 10 - STOCKTON,CALAVERAS,4620,1679,DAC,39685,9154.99,NA,NA,No,No,Yes,NA,12/1/2021,WILLIAM ELTRINGHAM,upudshop@att.net,209-728-3651,NA,NA,NA,Y,Elaine Urruty,adminupud@goldrush.com,209-728-3651
CA0510019,CCWD - WALLACE,DISTRICT 10 - STOCKTON,CALAVERAS,340,111,DAC,2171.3,2171.3,NA,NA,No,No,Yes,NA,12/1/2021,JESSE HAMPTON,jesseh@ccwd.org,209-754-3316,NA,NA,NA,NA,Jesse Hampton,jesseh@ccwd.org,209-754-3316
CA0510017,CCWD - COPPER COVE,DISTRICT 10 - STOCKTON,CALAVERAS,4416,2615,Non-DAC,31353.87,31353.87,NA,NA,No,No,Yes,NA,12/1/2021,JESSE HAMPTON,jesseh@ccwd.org,209-754-3316,NA,NA,NA,NA,Jesse Hampton,jesseh@ccwd.org,209-754-3316
CA0510010,VALLEY SPRINGS PUD,DISTRICT 10 - STOCKTON,CALAVERAS,900,263,Non-DAC,30000,216.1,NA,NA,No,No,Yes,NA,12/1/2021,MICHAEL FISCHER,VSPUDMANAGER@SBCGLOBAL.NET,209-772-2650,NA,NA,NA,Y,MICHAEL FISCHER,vspud@sbcglobal.net,NA
CA0707574,SANTIAGO ISLAND VILLAGE,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,400,211,SDAC,13800,1134,NA,NA,No,No,Yes,NA,12/1/2021,AIMEE MOLSBERRY,AMOLSBERRY@SANTIAGOCORP.COM,714-744-4993,NA,NA,NA,NA,teresa gordon,siv@santiagocorp.com,NA
CA0910003,"PLACERVILLE, CITY OF - MAIN",DISTRICT 09 - SACRAMENTO,EL DORADO,10762,2795,DAC,55509.35,57509.35,NA,NA,No,No,Yes,NA,12/1/2021,NICK STONE,nstone@cityofplacerville.org,530-642-5232,NA,NA,NA,Y,Nicholas Stone,nstone@cityofplacerville.org,NA
CA1010006,CITY OF FOWLER,DISTRICT 23 - FRESNO,FRESNO,6600,1784,SDAC,140000,137000,NA,NA,No,No,Yes,NA,12/1/2021,WILMA QUAN,wquan@ci.fowler.ca.us,559-834-3113,NA,NA,NA,Y,manuel lopez,mlopez@ci.fowler.ca.us,-
CA1010019,"KINGSBURG, CITY OF",DISTRICT 23 - FRESNO,FRESNO,12002,3856,DAC,1075000,58916,NA,NA,No,No,Yes,NA,12/1/2021,DANIEL GALVEZ,dgalvez@cityofkingsburg-ca.gov,559-897-1066,NA,NA,NA,Y,Mary Colby,mecolby@cityofkingsburg-ca.gov,NA
CA1010005,FIREBAUGH CITY,DISTRICT 23 - FRESNO,FRESNO,7619,1642,SDAC,120000,51000,NA,NA,No,No,Yes,NA,12/1/2021,BEN GALLEGOS,PUBLICWORKS@CI.FIREBAUGH.CA.US; BGallegos@ci.firebaugh.ca.us,559-659-2043,NA,NA,NA,Y,NOAH  MARQUEZ,Nmarquez@ci.firebaugh.ca.us,559-694-6164
CA1000004,BELMONT WATER CORPORATION,DISTRICT 23 - FRESNO,FRESNO,264,40,Non-DAC,750,750,NA,NA,No,No,Yes,NA,12/1/2021,NIC POPE,nic@sequoiafresno.org,559-978-6562,NA,NA,NA,NA,Michael Emigh,memigh@comcast.net,559-289-1544
CA1110001,CITY OF ORLAND,DISTRICT 21 - VALLEY,GLENN,8323,2671,SDAC,1,0,NA,NA,No,No,Yes,NA,12/1/2021,ED VONASEK,Evonasek@CITYOFORLAND.COM,530-865-1611,NA,NA,NA,Y,Jennifer Schmitke,jtschmitke@cityoforland.com,530-865-1610
CA1200701,ORICK C.S.D.,DISTRICT 01 - KLAMATH,HUMBOLDT,450,141,SDAC,4000,3674,NA,NA,No,No,Yes,NA,12/1/2021,RON BARLOW,orickcsd@gmail.com,707-488-5952,NA,NA,NA,NA,Barbara Mitchell,orickcsd@gmail.com,(707) 845-4994
CA1206004,PALMER CREEK CSD,DISTRICT 01 - KLAMATH,HUMBOLDT,320,131,SDAC,2500,1706.31,NA,NA,No,No,Yes,NA,12/1/2021,ANN BOOKER,pccsd@att.net,707-725-4060,NA,NA,NA,Y,Owen Farmer,pccsd@att.net,707 725 0544
