PWSID,app_eligible
CA0110001,Yes
CA0110005,Yes
CA0110006,Yes
CA0110008,Yes
CA0110011,Yes
CA0202504,Yes
CA0310001,Yes
CA0310002,Yes
CA0310005,Yes
CA0310006,Yes
CA0410004,Yes
CA0410006,Yes
CA0410011,Yes
CA0510001,Yes
CA0510002,Yes
CA0510003,Yes
CA0510004,Yes
CA0510005,Yes
CA0510006,Yes
CA0510010,Yes
CA0510016,Yes
CA0510017,Yes
CA0510019,Yes
CA0610002,Yes
CA0610004,Yes
CA0707574,Yes
CA0707577,Yes
CA0710001,Yes
CA0710003,Yes
CA0710004,Yes
CA0710006,Yes
CA0710007,Yes
CA0710008,Yes
CA0710009,Yes
CA0800548,Yes
CA0810001,Yes
CA1010051,Yes
CA1100616,Yes
CA1200538,Yes
CA1200553,Yes
CA1200701,Yes
CA1200729,Yes
CA1206004,Yes
CA1210001,Yes
CA1210002,Yes
CA1210004,Yes
CA1210006,Yes
CA1210008,Yes
CA1210009,Yes
CA1210010,Yes
CA1210011,Yes
CA1210012,Yes
CA1210013,Yes
CA1210016,Yes
CA1210017,Yes
CA1210019,Yes
CA1210020,Yes
CA1210021,Yes
CA1210023,Yes
CA1210024,Yes
CA1300018,Yes
CA1310001,Yes
CA1310002,Yes
CA1310004,Yes
CA1310006,Yes
CA1310007,Yes
CA1310013,Yes
CA1400036,Yes
CA1500096,Yes
CA1500290,Yes
CA1500296,Yes
CA1500327,Yes
CA1500364,Yes
CA1500401,Yes
CA1500409,Yes
CA1700502,Yes
CA1700536,Yes
CA1700546,Yes
CA1700554,Yes
CA1700568,Yes
CA1710001,Yes
CA1710003,Yes
CA1710004,Yes
CA1710006,Yes
CA1710007,Yes
CA1710008,Yes
CA1710010,Yes
CA1710013,Yes
CA1710015,Yes
CA1710018,Yes
CA1710021,Yes
CA1710022,Yes
CA1805007,Yes
CA1810003,Yes
CA1900100,Yes
CA1900154,Yes
CA1900721,Yes
CA1900767,Yes
CA1900849,Yes
CA1910001,Yes
CA1910003,Yes
CA1910006,Yes
CA1910007,Yes
CA1910009,Yes
CA1910013,Yes
CA1910017,Yes
CA1910018,Yes
CA1910019,Yes
CA1910020,Yes
CA1910026,Yes
CA1910028,Yes
CA1910029,Yes
CA1910034,Yes
CA1910038,Yes
CA1910039,Yes
CA1910040,Yes
CA1910042,Yes
CA1910043,Yes
CA1910044,Yes
CA1910050,Yes
CA1910051,Yes
CA1910060,Yes
CA1910061,Yes
CA1910062,Yes
CA1910063,Yes
CA1910064,Yes
CA1910065,Yes
CA1910067,Yes
CA1910070,Yes
CA1910075,Yes
CA1910079,Yes
CA1910084,Yes
CA1910085,Yes
CA1910090,Yes
CA1910091,Yes
CA1910092,Yes
CA1910101,Yes
CA1910102,Yes
CA1910105,Yes
CA1910108,Yes
CA1910117,Yes
CA1910124,Yes
CA1910125,Yes
CA1910126,Yes
CA1910127,Yes
CA1910130,Yes
CA1910140,Yes
CA1910143,Yes
CA1910144,Yes
CA1910146,Yes
CA1910147,Yes
CA1910149,Yes
CA1910153,Yes
CA1910154,Yes
CA1910157,Yes
CA1910159,Yes
CA1910160,Yes
CA1910167,Yes
CA1910173,Yes
CA1910179,Yes
CA1910185,Yes
CA1910191,Yes
CA1910194,Yes
CA1910204,Yes
CA1910205,Yes
CA1910211,Yes
CA1910213,Yes
CA1910218,Yes
CA1910225,Yes
CA1910234,Yes
CA1910239,Yes
CA1910246,Yes
CA1910248,Yes
CA1910249,Yes
CA2000293,Yes
CA2000511,Yes
CA2000544,Yes
CA2000549,Yes
CA2000551,Yes
CA2000552,Yes
CA2000553,Yes
CA2000554,Yes
CA2000557,Yes
CA2000561,Yes
CA2000690,Yes
CA2000692,Yes
CA2000724,Yes
CA2000727,Yes
CA2000728,Yes
CA2000729,Yes
CA2000757,Yes
CA2000849,Yes
CA2000851,Yes
CA2000865,Yes
CA2010001,Yes
CA2010002,Yes
CA2010004,Yes
CA2010006,Yes
CA2010008,Yes
CA2010009,Yes
CA2010010,Yes
CA2010011,Yes
CA2010016,Yes
CA2110001,Yes
CA2110002,Yes
CA2110003,Yes
CA2110006,Yes
CA2310001,Yes
CA2310002,Yes
CA2310003,Yes
CA2310007,Yes
CA2310009,Yes
CA2310011,Yes
CA2400167,Yes
CA2400201,Yes
CA2400209,Yes
CA2410003,Yes
CA2410005,Yes
CA2410007,Yes
CA2410009,Yes
CA2410011,Yes
CA2410018,Yes
CA2500503,Yes
CA2610001,Yes
CA2610003,Yes
CA2700586,Yes
CA2700634,Yes
CA2700687,Yes
CA2701423,Yes
CA2701658,Yes
CA2701904,Yes
CA2710001,Yes
CA2710007,Yes
CA2710011,Yes
CA2710017,Yes
CA2710018,Yes
CA2710023,Yes
CA2800526,Yes
CA2800530,Yes
CA2810002,Yes
CA2810003,Yes
CA2810004,Yes
CA2810005,Yes
CA2810007,Yes
CA2810013,Yes
CA2900511,Yes
CA2900523,Yes
CA2910001,Yes
CA2910002,Yes
CA2910003,Yes
CA2910004,Yes
CA2910016,Yes
CA3010001,Yes
CA3010002,Yes
CA3010003,Yes
CA3010004,Yes
CA3010010,Yes
CA3010017,Yes
CA3010018,Yes
CA3010023,Yes
CA3010027,Yes
CA3010030,Yes
CA3010036,Yes
CA3010038,Yes
CA3010042,Yes
CA3010046,Yes
CA3010047,Yes
CA3010053,Yes
CA3010062,Yes
CA3010064,Yes
CA3010068,Yes
CA3010069,Yes
CA3010073,Yes
CA3010079,Yes
CA3010082,Yes
CA3010092,Yes
CA3010094,Yes
CA3010101,Yes
CA3100058,Yes
CA3110003,Yes
CA3110004,Yes
CA3110008,Yes
CA3110024,Yes
CA3110034,Yes
CA3110049,Yes
CA0910002,Yes
CA0910003,Yes
CA0910006,Yes
CA0910007,Yes
CA0910013,Yes
CA1000004,Yes
CA1000019,Yes
CA1000041,Yes
CA1000042,Yes
CA1000053,Yes
CA1000054,Yes
CA1000359,Yes
CA1000471,Yes
CA1000484,Yes
CA1000546,Yes
CA1000550,Yes
CA1000551,Yes
CA1010001,Yes
CA1010003,Yes
CA1010004,Yes
CA1010005,Yes
CA1010006,Yes
CA1010007,Yes
CA1010017,Yes
CA1010018,Yes
CA1010019,Yes
CA1010020,Yes
CA1010021,Yes
CA1010023,Yes
CA1010025,Yes
CA1010028,Yes
CA1010029,Yes
CA1010030,Yes
CA1010034,Yes
CA1010035,Yes
CA1010042,Yes
CA1010044,Yes
CA3200104,Yes
CA3200509,Yes
CA3210004,Yes
CA3210009,Yes
CA3210011,Yes
CA3301031,Yes
CA3301529,Yes
CA3301535,Yes
CA3301775,Yes
CA3310001,Yes
CA3310002,Yes
CA3310003,Yes
CA3310004,Yes
CA3310005,Yes
CA3310006,Yes
CA3310007,Yes
CA3310008,Yes
CA3310009,Yes
CA3310012,Yes
CA3310016,Yes
CA3310017,Yes
CA3310018,Yes
CA3310019,Yes
CA3310020,Yes
CA3310021,Yes
CA3310022,Yes
CA3310025,Yes
CA3310026,Yes
CA3310031,Yes
CA3310032,Yes
CA3310036,Yes
CA3310037,Yes
CA3310038,Yes
CA3310044,Yes
CA3310046,Yes
CA3310047,Yes
CA3310051,Yes
CA1500424,Yes
CA1500455,Yes
CA1500475,Yes
CA1500489,Yes
CA1500494,Yes
CA1500569,Yes
CA1502056,Yes
CA1502449,Yes
CA1502465,Yes
CA1502670,Yes
CA1502690,Yes
CA1503475,Yes
CA1510001,Yes
CA1510005,Yes
CA1510006,Yes
CA1510007,Yes
CA1510011,Yes
CA1510012,Yes
CA1510013,Yes
CA1510015,Yes
CA1510016,Yes
CA1510017,Yes
CA1510018,Yes
CA1510019,Yes
CA1510021,Yes
