Water System No.,Water System Name,Regulating Agency,County,Total Number of Service Connections,AC Name,AC Email,AC Phone,Arrearage Application,Aggregated Application,Aggregated PWSIDs,Residential Arrearage Accounts,New Residential Arrearage Accounts,Residential Arrearage Amount,New Residential Arrearage Amount,CommercialArrearage Accounts,New Commercial Arrearage Accounts,Commercial Arrearage Amount,New Commercial Arrearage Amount,Total Reported Arrearages,Administrative Costs,Total Max Allotment,Total Funding Request,Mailing Address Street 1,Mailing Address Street 2,"City, State, Zip",Completed on,Uploaded Files
4110018,CITY OF MILLBRAE,DISTRICT 17 - SANTA CLARA,SAN MATEO,840901,CRAIG CENTIS,CCENTIS@CI.MILLBRAE.CA.US,650-259-2374,Application Summary,No,N/A,349,434,522631.27,256620.74,30,42,57991.84,28751.64,285372.38,8561.17,293933.55,293933.55,621 MAGNOLIA AVENUE,,"MILLBRAE, CA 94030",10-08-2021,1052_CA4110018_439210_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4110018_439210_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4110018_439210_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4110018_439210_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4110018_439210_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
4310011,SAN JOSE WATER,DISTRICT 17 - SANTA CLARA,SANTA CLARA,222214,ADAM FEFFER,adam.feffer@sjwater.com,408-918-7254,Application Summary,No,N/A,13404,13336,7860821.00,7720303.24,1162,1071,1746519.00,1657392.47,9377695.71,281330.87,9659026.58,9659026.58,1221 A South Bascom Avenue,,"SAN JOSE, CA 95128",11-01-2021,1052_CA4310011_439335_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA4310011_439335_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA4310011_439335_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA4310011_439335_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA4310011_439335_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3310009,EASTERN MUNICIPAL WD,DISTRICT 20 - RIVERSIDE,RIVERSIDE,155877,JEFF WALL,wallj@emwd.org,951-928-3777,Application Summary,No,N/A,5931,10085,3484583.00,3498599.96,92,96,75355.00,86992.81,3585592.77,107567.78,3693160.55,3693160.55,2270 Trumble Road,,"PERRIS, CA 92571",10-27-2021,1052_CA3310009_439209_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310009_439209_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310009_439209_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310009_439209_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310009_439209_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3410020,CITY OF SACRAMENTO MAIN,DISTRICT 09 - SACRAMENTO,SACRAMENTO,142794,MARK SEVEREID,MSevereid@cityofsacramento.org,916-808-8667,Application Summary,No,N/A,12377,8993,3221317.62,2853129.57,579,343,366184.83,183587.77,3036717.34,91101.52,3127818.86,3127818.86,7501 Collegetown Drive,,"SACRAMENTO, CA 95826",11-01-2021,1052_CA3410020_439343_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3410020_439343_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3410020_439343_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3410020_439343_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3410020_439343_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3010092,IRVINE RANCH WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,124976,JAMES COLSTON,Colston@irwd.com,949-453-5620,Application Summary,No,N/A,8047,6486,1605148.19,1552785.95,389,357,227077.40,244883.15,1797669.10,53930.07,1851599.17,1851599.17,P.O. Box 57000,,"IRVINE, CA 92619",10-21-2021,1052_CA3010092_439406_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3010092_439406_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3010092_439406_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3010092_439406_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3010092_439406_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3310001,COACHELLA VWD: COVE COMMUNITY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,106916,JAMES BARRETT,JBarrett@cvwd.org,760-398-2651,Application Summary,Yes,CA3310001; CA3310048,866,865,207099.90,207099.90,16,19,5450.76,6071.52,213171.42,6395.14,219566.56,219566.56,75-515 Hovley Lane East,,"PALM DESERT, CA 92211",11-03-2021,1052_CA3310001_439314_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310001_439314_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310001_439314_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310001_439314_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310001_439314_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
0110001,ALAMEDA COUNTY WATER DISTRICT,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,86788,ED STEVENSON,Ed.Stevenson@acwd.com,510-668-4200,Application Summary,No,N/A,28816,1528,6427787.00,825350.87,1639,83,1029730.00,67434.73,892785.60,26783.57,919569.17,919569.17,43885 S. GRIMMER BLVD,,"FREMONT, CA 94538-6348",11-04-2021,1052_CA0110001_439935_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0110001_439935_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0110001_439935_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0110001_439935_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA0110001_439935_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3310031,"RIVERSIDE, CITY OF",DISTRICT 20 - RIVERSIDE,RIVERSIDE,66033,TODD CORBIN,TCorbin@riversideca.gov,951-826-5772,Application Summary,No,N/A,6309,5268,1995075.00,1967685.66,201,154,164015.00,146988.80,2114674.46,63440.23,2178114.69,2178114.69,3750 University Ave,,"RIVERSIDE, CA 92501",11-01-2021,1052_CA3310031_439326_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3310031_439326_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3310031_439326_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3310031_439326_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3310031_439326_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
2110002,MARIN MUNICIPAL WATER DISTRICT,DISTRICT 18 - SONOMA,MARIN,62206,PAUL SELLIER,psellier@marinwater.org,415-945-1557,Application Summary,No,N/A,4124,2448,2653249.00,1942958.06,226,131,275397.00,139043.24,2082001.30,62460.04,2144461.34,2144461.3,220 Nellen Avenue,,"CORTE MADERA, CA 94925",10-29-2021,1052_CA2110002_439581_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA2110002_439581_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA2110002_439581_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA2110002_439581_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA2110002_439581_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
0710003,CONTRA COSTA WATER DISTRICT,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,60529,DAVE HUEY,DHUEY@CCWATER.COM,925-688-8254,Application Summary,Yes,CA0710010; CA0710011,2456,1474,851358.13,649685.31,71,55,40792.81,35007.30,684692.61,20540.78,705233.39,705233.39,1331 Concord Ave,,"CONCORD, CA 94520-4907",10-08-2021,1052_CA0710003_439216_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA0710003_439216_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA0710003_439216_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA0710003_439216_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA0710003_439216_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710010,HELIX WATER DISTRICT,DISTRICT 14 - SAN DIEGO,SAN DIEGO,56425,CARLOS LUGO,carlos.lugo@helixwater.org,619-667-6241,Application Summary,No,N/A,1041,1187,491391.69,575352.93,61,74,23520.68,31909.02,607261.95,18217.86,625479.81,625479.81,7811 UNIVERSITY AVE.,,"LA MESA, CA 91941",11-03-2021,1052_CA3710010_439477_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710010_439477_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710010_439477_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710010_439477_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710010_439477_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3010073,MOULTON NIGUEL WATER DISTRICT,DISTRICT 08 - SANTA ANA,ORANGE,52625,MATT COLLINGS,mcollings@mnwd.com,949-448-4032,Application Summary,No,N/A,2489,1800,429983.21,450762.22,172,121,87558.61,52266.69,503028.91,15090.87,518119.78,518119.78,27500 La Paz Road,,"LAGUNA NIGUEL, CA 92677",11-04-2021,1052_CA3010073_439189_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3010073_439189_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3010073_439189_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3010073_439189_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3010073_439189_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3710034,OTAY WATER DISTRICT,DISTRICT 14 - SAN DIEGO,SAN DIEGO,50106,JOSE MARTINEZ,jose.martinez@otaywater.gov,619-670-2210,Application Summary,No,N/A,1765,1156,587827.00,474125.45,51,35,33210.00,31993.79,506119.24,15183.58,521302.82,521302.82,2554 Sweetwater Springs Blvd,,"SPRING VALLEY, CA 91978",10-28-2021,1052_CA3710034_439376_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3710034_439376_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3710034_439376_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3710034_439376_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3710034_439376_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3610018,CUCAMONGA VALLEY WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,48264,ADRIANA VEGA,adrianav@cvwdwater.com,909-987-2591,Application Summary,No,N/A,1292,1290,389902.09,384014.73,17,19,9647.24,15534.60,399549.33,11986.48,411535.81,411535.81,10440 ASHFORD ST,,"RANCHO CUCAMONGA, CA 91730",11-09-2021,1052_CA3610018_439585_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3610018_439585_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3610018_439585_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3610018_439585_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3610018_439585_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
3410001,SACRAMENTO SUBURBAN WATER DISTRICT,DISTRICT 09 - SACRAMENTO,SACRAMENTO,46573,MATTHEW UNDERWOOD,munderwood@sswd.org,916-972-7171,Application Summary,No,N/A,3542,1981,917048.46,662719.01,148,86,126010.12,90553.09,753272.10,22598.16,775870.26,775870.26,"3701 Marconi Avenue, Suite 100",,"SACRAMENTO, CA 95821",10-15-2021,1052_CA3410001_439444_32037_CommunityWaterS__AuthorizedRepresentitiveDocumentation_1.pdf   1052_CA3410001_439444_32038_CommunityWaterS__ConditionsOfPayment_1.pdf  1052_CA3410001_439444_32039_CommunityWaterS__DisbursementRequestForm_1.pdf  1052_CA3410001_439444_32056_CommunityWaterS__TaxFormUpload_1.pdf  1052_CA3410001_439444_32057_CommunityWaterS__AccountSpreadsheetUpload_1.xlsx
