WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
0110001,ALAMEDA COUNTY WATER DISTRICT,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,351000,86788,919569.17,37.505646,-121.9609087,11-04-2021,
2710001,ALCO WATER SERVICE,DISTRICT 05 - MONTEREY,MONTEREY,30098,9118,498654.21,36.6762342,-121.6134706,10-18-2021,
1700502,ANDERSON SPRINGS CSD,DISTRICT 03 - MENDOCINO,LAKE,331,130,2281.0,38.7524045,-122.6149853,10-18-2021,
3600008,APPLE VALLEY FOOTHILL CWD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,729,218,1261.01,34.4565282,-117.1711767,10-21-2021,
3600009,APPLE VALLEY HEIGHTS CWD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,986,296,936.89,34.4231645,-117.1587932,10-12-2021,
2702026,APRICOT LN WS,LPA57 - MONTEREY COUNTY,MONTEREY,53,16,533.34,36.85398989999999,-121.6883081,10-07-2021,
1210001,ARCATA  CITY OF,DISTRICT 01 - KLAMATH,HUMBOLDT,19096,6224,66620.45,40.8671545,-124.0847564,11-03-2021,
3610110,ARROWBEAR PARK CWD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,1856,955,6493.12,34.2094699,-117.0823502,10-22-2021,
4010001,ARROYO GRANDE  WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,17641,6834,42487.62,35.1242273,-120.5761142,10-29-2021,
4010002,ATASCADERO MUTUAL WATER CO,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,35848,10807,55560.61,35.4953802,-120.6791823,10-14-2021,
1010001,BAKMAN WATER COMPANY,DISTRICT 12 - VISALIA,FRESNO,16756,2608,68174.47,36.73999999999999,-119.7,10-15-2021,
2010009,BAKMAN WATER-ROLLING HILLS,DISTRICT 11 - MERCED,MADERA,1106,339,2547.25,36.73999999999999,-119.7,10-15-2021,
2400167,BALLICO CSD,DISTRICT 11 - MERCED,MERCED,238,73,849.75,37.4516022,-120.7018941,11-07-2021,
3301031,BANNING HTS. MUTUAL WATER CO.,DISTRICT 20 - RIVERSIDE,RIVERSIDE,552,178,132293.34,34.0075612,-116.9112087,10-13-2021,
1910013,BELLFLOWER - SOMERSET MWC,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,46300,7087,243354.69,33.88183110000001,-118.1202686,10-28-2021,
1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,DISTRICT 16 - CENTRAL,LOS ANGELES,5967,1826,72908.36,33.8836423,-118.1218687,10-28-2021,
4900558,BELMONT TERRACE MUTUAL WATER COMPANY,DISTRICT 18 - SONOMA,SONOMA,244,87,3159.22,38.4084835,-122.8425823,10-15-2021,
3610008,BIG BEAR CITY CSD,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,12537,6150,25758.39,34.26139330000001,-116.8466494,10-13-2021,
5500040,BLUEBELL VALLEY MWC,DISTRICT 11 - MERCED,TUOLUMNE,282,91,4938.27,37.9764868,-120.32393,10-06-2021,
3310003,BLYTHE - CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,11250,3446,8017.86,33.6129707,-114.5973008,11-15-2021,
3710036,BORREGO WD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,3429,2033,102586.57,33.2558717,-116.375012,10-20-2021,
3310004,BOX SPRINGS MUTUAL WC,DISTRICT 20 - RIVERSIDE,RIVERSIDE,3542,649,32143.22,33.928058,-117.2836152,10-08-2021,
2310009,BROOKTRAILS TOWNSHIP CSD,DISTRICT 03 - MENDOCINO,MENDOCINO,3800,1554,293820.54,39.4370841,-123.3849495,10-06-2021,
4210018,BUELLTON WATER DEPARTMENT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,5464,1831,11542.15,34.613597,-120.1926505,10-20-2021,
3310047,CABAZON WATER DISTRICT,DISTRICT 20 - RIVERSIDE,RIVERSIDE,2588,969,21891.02,33.9090781,-116.7825611,10-20-2021,
5610019,CAMARILLO WATER DEPT,DISTRICT 06 - SANTA BARBARA,VENTURA,40481,13979,99653.6,34.2224757,-119.0515386,11-05-2021,
5800924,CAMPTONVILLE COMMUNITY SERV DIST,LPA88 - YUBA COUNTY,YUBA,180,85,4017.0,39.4404146,-121.079891,11-03-2021,
3410004,CARMICHAEL WATER DISTRICT,DISTRICT 09 - SACRAMENTO,SACRAMENTO,37897,11704,58778.38,38.63722509999999,-121.3190447,10-20-2021,
4210001,CARPINTERIA VALLEY WATER DISTRICT,DISTRICT 06 - SANTA BARBARA,SANTA BARBARA,15996,4399,26913.43,34.4049716,-119.5274805,10-11-2021,
4510011,CENTERVILLE C.S.D.,DISTRICT 02 - LASSEN,SHASTA,4211,1257,5640.72,40.5458176,-122.4644491,10-21-2021,
1910019,CERRITOS - CITY  WATER DEPT.,DISTRICT 16 - CENTRAL,LOS ANGELES,49041,15752,86317.41,33.8667832,-118.0641246,10-15-2021,
2010001,CHOWCHILLA CITY WATER DEPT,DISTRICT 11 - MERCED,MADERA,13374,4053,127010.28,37.1220315,-120.2596803,10-19-2021,
1910001,CITY OF ALHAMBRA,DISTRICT 16 - CENTRAL,LOS ANGELES,83750,17545,194233.67,34.09266720000001,-118.1271926,10-28-2021,
3010003,CITY OF BUENA PARK,DISTRICT 08 - SANTA ANA,ORANGE,81998,19065,249955.16,33.8639363,-117.9966338,11-02-2021,
0610002,CITY OF COLUSA,DISTRICT 21 - VALLEY,COLUSA,6175,2205,21807.16,39.2090051,-122.009198,10-05-2021,
4310018,CITY OF CUPERTINO,DISTRICT 17 - SANTA CLARA,SANTA CLARA,16530,4606,98176.74,37.3037041,-121.932312,11-01-2021,
4110013,CITY OF DALY CITY,DISTRICT 17 - SANTA CLARA,SAN MATEO,106280,23107,675504.21,37.7027878,-122.484868,11-16-2021,
4810003,CITY OF FAIRFIELD,DISTRICT 04 - SAN FRANCISCO,SOLANO,112140,32301,493009.27,38.2522452,-122.0445906,10-12-2021,
0410004,CITY OF GRIDLEY,DISTRICT 21 - VALLEY,BUTTE,7246,2264,67697.68,39.3652745,-121.6974402,10-07-2021,
2410003,CITY OF GUSTINE,DISTRICT 11 - MERCED,MERCED,5855,1913,39494.73,37.2577171,-120.9988154,10-06-2021,
0110011,CITY OF LIVERMORE,DISTRICT 04 - SAN FRANCISCO,ALAMEDA,30000,10034,41432.85,37.6911361,-121.8071483,10-13-2021,
0710006,CITY OF MARTINEZ,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,35375,9970,220021.68,38.0140786,-122.1353509,11-18-2021,
4110018,CITY OF MILLBRAE,DISTRICT 17 - SANTA CLARA,SAN MATEO,22795,840901,293933.55,37.6026332,-122.3962014,10-08-2021,
4310006,CITY OF MORGAN HILL,DISTRICT 17 - SANTA CLARA,SANTA CLARA,46454,14593,156791.18,37.1145045,-121.6468036,11-15-2021,
4310007,CITY OF MOUNTAIN VIEW,DISTRICT 17 - SANTA CLARA,SANTA CLARA,79772,17507,356946.32,37.3940469,-122.0603513,11-02-2021,
1010023,CITY OF ORANGE COVE,DISTRICT 23 - FRESNO,FRESNO,9780,1705,194126.47,36.6231749,-119.3129872,11-12-2021,
0710008,CITY OF PITTSBURG,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,62500,19023,223451.55,38.0258924,-121.8832258,11-17-2021,
4810004,CITY OF RIO VISTA,DISTRICT 04 - SAN FRANCISCO,SOLANO,9416,5389,81582.18,38.1549467,-121.6901072,11-17-2021,
3110008,CITY OF ROSEVILLE,DISTRICT 02 - LASSEN,PLACER,131057,46193,57266.5,38.7302059,-121.3176147,11-08-2021,
3410020,CITY OF SACRAMENTO MAIN,DISTRICT 09 - SACRAMENTO,SACRAMENTO,510931,142794,3127818.86,38.556586,-121.41649,11-01-2021,
4110023,CITY OF SAN BRUNO,DISTRICT 17 - SANTA CLARA,SAN MATEO,46085,11391,453926.76,37.6248959,-122.4146056,10-26-2021,
5200504,CITY OF TEHAMA,DISTRICT 21 - VALLEY,TEHAMA,445,195,1179.83,40.0275294,-122.1223976,10-05-2021,
5010006,CITY OF WATERFORD,DISTRICT 10 - STOCKTON,STANISLAUS,8788,2065,65477.05,37.6389951,-120.7587466,10-28-2021,
5110002,CITY OF YUBA CITY,DISTRICT 21 - VALLEY,SUTTER,73202,18807,289846.06,39.145376,-121.638001,11-15-2021,
1700546,CLEAR WATER MUTUAL WATER COMPANY,DISTRICT 03 - MENDOCINO,LAKE,252,89,49694.12,38.980218,-122.744821,11-10-2021,
1710001,CLEARLAKE OAKS COUNTY WATER DISTRICT,DISTRICT 03 - MENDOCINO,LAKE,2359,1841,156617.58,39.0262841,-122.6719304,10-22-2021,
3200509,CLIO PUBLIC UTILITY DISTRICT,LPA62 - PLUMAS COUNTY,PLUMAS,79,53,945.0,39.7432328,-120.5802171,11-16-2021,
4910002,CLOVERDALE  CITY OF,DISTRICT 18 - SONOMA,SONOMA,9157,3266,43394.12,38.8063025,-123.0175371,10-28-2021,
3310001,COACHELLA VWD: COVE COMMUNITY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,297500,106916,219566.56,33.7435843,-116.3503112,11-03-2021,
3310007,COACHELLA WATER AUTHORITY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,45743,8831,209892.0,33.6569603,-116.1496523,11-16-2021,
1010004,COALINGA-CITY,DISTRICT 23 - FRESNO,FRESNO,17199,4027,136892.59,36.1397306,-120.3617941,11-16-2021,
4110011,COASTSIDE COUNTY WATER DISTRICT,DISTRICT 17 - SANTA CLARA,SAN MATEO,18738,6558,28223.71,37.4599483,-122.4299581,11-10-2021,
1910026,COMPTON-CITY  WATER DEPT.,DISTRICT 22 - ANGELES,LOS ANGELES,76484,13999,704973.91,33.8946222,-118.2246565,10-11-2021,
0710003,CONTRA COSTA WATER DISTRICT,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,198000,60529,705233.39,37.9805622,-122.0483202,10-08-2021,
1610004,CORCORAN  CITY OF,DISTRICT 12 - VISALIA,KINGS,21835,3442,116769.76,36.0983312,-119.5579378,10-26-2021,
4910016,COTATI  CITY OF,DISTRICT 18 - SONOMA,SONOMA,7653,2669,104687.54,38.3235856,-122.7083871,10-13-2021,
3610015,CRESTLINE VILLAGE CWD - DIVISION 10,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,8360,4892,61017.76,34.2392741,-117.2980588,10-15-2021,
5000005,CROWS LANDING COMM SVC DISTRICT,LPA80 - STANISLAUS COUNTY,STANISLAUS,500,138,3583.37,37.3937203,-121.0720747,10-29-2021,
3610018,CUCAMONGA VALLEY WATER DISTRICT,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,198979,48264,411535.81,34.1120383,-117.5778328,11-09-2021,
5410001,CUTLER PUD,DISTRICT 24 - TULARE,TULARE,6200,1218,22027.09,36.525422,-119.2872328,10-18-2021,
0410011,DEL ORO WATER CO.-PARADISE PINES,DISTRICT 21 - VALLEY,BUTTE,10513,3198,56198.21,39.81,-121.94,10-28-2021,
1010035,DEL REY COMMUNITY SERV DIST,DISTRICT 23 - FRESNO,FRESNO,1500,312,29715.5,36.6591171,-119.593744,10-28-2021,
3310005,DESERT WATER AGENCY,DISTRICT 20 - RIVERSIDE,RIVERSIDE,89232,22860,343502.29,33.8259597,-116.5440081,11-10-2021,
