WSN,WS Name,Agency,County,Population Served, Service Connections, Total Funding Request,latitude,longitude, Completed Date
5403144,ALI MUTUAL WATER CO,DISTRICT 24 - TULARE,TULARE,39,13,N/A,36.2143583,-119.2599759,Have not applied
4600012,ALLEGHANY COUNTY W.D.,DISTRICT 02 - LASSEN,SIERRA,80,57,N/A,39.4678844,-120.8384093,Have not applied
5400544,ALLENSWORTH CSD,DISTRICT 24 - TULARE,TULARE,521,164,N/A,35.879,-119.3714909,Have not applied
5410050,ALPAUGH COMMUNITY SERVICES DISTRICT,DISTRICT 12 - VISALIA,TULARE,1026,394,N/A,35.8884234,-119.4870992,Have not applied
2810005,AMERICAN CANYON  CITY OF,DISTRICT 03 - MENDOCINO,NAPA,20990,5341,N/A,38.2245118,-122.2267422,Have not applied
3210004,AMERICAN VALLEY CSD,DISTRICT 02 - LASSEN,PLUMAS,4300,1607,N/A,39.9472946,-120.9409075,Have not applied
510003,ANGELS  CITY OF,DISTRICT 10 - STOCKTON,CALAVERAS,3836,1887,N/A,38.064958,-120.5969758,Have not applied
3301180,ANZA MUTUAL WATER COMPANY,LPA63 - RIVERSIDE COUNTY,RIVERSIDE,224,85,N/A,33.5483551,-116.6726718,Have not applied
1610001,ARMONA COMMUNITY SERVICES DIST,DISTRICT 12 - VISALIA,KINGS,4143,1246,N/A,36.3104492,-119.7093013,Have not applied
2701658,ARROYO CENTER WC,LPA57 - MONTEREY COUNTY,MONTEREY,130,60,N/A,36.2352426,-121.4686345,Have not applied
1510001,ARVIN COMMUNITY SERVICES DIST,DISTRICT 12 - VISALIA,KERN,21851,4157,N/A,35.2113449,-118.8337127,Have not applied
1610002,AVENAL  CITY OF,DISTRICT 12 - VISALIA,KINGS,13218,2019,N/A,36.00754,-120.1229543,Have not applied
310002,AWA  IONE,DISTRICT 10 - STOCKTON,AMADOR,6170,2106,N/A,38.3828639,-120.7877453,Have not applied
1910007,AZUSA LIGHT AND WATER,DISTRICT 16 - CENTRAL,LOS ANGELES,106400,23733,N/A,34.1346788,-117.9079306,Have not applied
3310006,BANNING  CITY OF,DISTRICT 20 - RIVERSIDE,RIVERSIDE,30735,10653,N/A,33.9215551,-116.8748053,Have not applied
3310002,BEAUMONT CHERRY VALLEY WD,DISTRICT 20 - RIVERSIDE,RIVERSIDE,49241,19658,N/A,33.9288089,-116.9754231,Have not applied
4510014,BELLA VISTA WATER DISTRICT,DISTRICT 02 - LASSEN,SHASTA,19098,6420,N/A,40.6176872,-122.2977129,Have not applied
1000004,BELMONT WATER CORPORATION,DISTRICT 23 - FRESNO,FRESNO,264,40,N/A,36.7459543,-119.6439917,Have not applied
2800526,BERRYESSA ESTATES (LBRID),DISTRICT 03 - MENDOCINO,NAPA,476,187,N/A,38.3006049,-122.2832438,Have not applied
2810013,BERRYESSA HIGHLANDS,DISTRICT 03 - MENDOCINO,NAPA,938,248,N/A,38.3006049,-122.2832438,Have not applied
4410001,BIG BASIN WATER COMPANY,DISTRICT 05 - MONTEREY,SANTA CRUZ,1120,482,N/A,37.140014,-122.1666128,Have not applied
4400526,BIG REDWOOD PARK WATER,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,130,65,N/A,37.0412195,-122.0816894,Have not applied
1210002,BLUE LAKE  CITY OF,DISTRICT 01 - KLAMATH,HUMBOLDT,1253,704,N/A,40.9309419,-123.8223634,Have not applied
1310001,BRAWLEY  CITY OF,DISTRICT 14 - SAN DIEGO,IMPERIAL,27337,5817,N/A,32.9777873,-115.5432434,Have not applied
710004,BRENTWOOD,DISTRICT 04 - SAN FRANCISCO,CONTRA COSTA,65118,20604,N/A,37.959746,-121.6873232,Have not applied
2610003,BRIDGEPORT PUD,DISTRICT 13 - SAN BERNARDINO,MONO,851,258,N/A,38.2517359,-119.2310568,Have not applied
1500489,BRITE LAKE MUTUAL WATER COMPANY,DISTRICT 19 - TEHACHAPI,KERN,89,27,N/A,35.1420968,-118.6313788,Have not applied
1500409,BROCK MUTUAL WATER COMPANY,DISTRICT 12 - VISALIA,KERN,462,155,N/A,35.3873845,-119.1334534,Have not applied
1910179,BURBANK-CITY  WATER DEPT.,DISTRICT 07 - HOLLYWOOD,LOS ANGELES,105861,25786,N/A,34.1778561,-118.3167431,Have not applied
3701184,BUTTERFIELD RANCH,LPA67 - SAN DIEGO COUNTY,SAN DIEGO,350,308,N/A,32.807922,-117.2443943,Have not applied
1510011,BUTTONWILLOW CWD,DISTRICT 12 - VISALIA,KERN,1508,411,N/A,35.4283801,-119.4875668,Have not applied
1910020,CAL-AM WATER COMPANY - EAST PASADENA,DISTRICT 22 - ANGELES,LOS ANGELES,9887,2996,N/A,34.092435,-118.0803525,Have not applied
3410010,CALAM - SUBURBAN ROSEMONT,DISTRICT 09 - SACRAMENTO,SACRAMENTO,53563,16238,N/A,38.6527955,-121.4255067,Have not applied
510002,CALAVERAS PUD,DISTRICT 10 - STOCKTON,CALAVERAS,6286,1906,N/A,38.200334,-120.6901509,Have not applied
1310002,CALEXICO  CITY OF,DISTRICT 14 - SAN DIEGO,IMPERIAL,40357,8559,N/A,32.6706086,-115.4932062,Have not applied
2500503,CALIFORNIA PINES C.S.D.,DISTRICT 01 - KLAMATH,MODOC,300,169,N/A,41.4281801,-120.4693492,Have not applied
2810002,CALISTOGA  CITY OF,DISTRICT 03 - MENDOCINO,NAPA,5610,1497,N/A,38.5768766,-122.5721048,Have not applied
1710013,CALLAYOMI COUNTY WATER DISTRICT,DISTRICT 03 - MENDOCINO,LAKE,1481,449,N/A,38.7548746,-122.6051351,Have not applied
4010014,CAMBRIA COMM SERVICES DIST,DISTRICT 06 - SANTA BARBARA,SAN LUIS OBISPO,6032,4034,N/A,35.5925142,-121.0564425,Have not applied
4910022,CANON MANOR WATER SYSTEM,DISTRICT 18 - SONOMA,SONOMA,795,241,N/A,38.4640695,-122.6630881,Have not applied
3710005,CARLSBAD MWD,DISTRICT 14 - SAN DIEGO,SAN DIEGO,91697,28218,N/A,33.132334,-117.2684842,Have not applied
5610024,CASITAS MUNICIPAL WATER DIST,DISTRICT 06 - SANTA BARBARA,VENTURA,11042,3171,N/A,34.4024833,-119.299922,Have not applied
4400652,CATHEDRAL HILLS MWC  INC,LPA74 - SANTA CRUZ COUNTY,SANTA CRUZ,60,25,N/A,37.006573,-121.898539,Have not applied
510017,CCWD - COPPER COVE,DISTRICT 10 - STOCKTON,CALAVERAS,4416,2664,N/A,38.1807654,-120.6779547,Have not applied
510016,CCWD - EBBETTS PASS,DISTRICT 10 - STOCKTON,CALAVERAS,12484,5989,N/A,38.1807654,-120.6779547,Have not applied
510006,CCWD - JENNY LIND,DISTRICT 10 - STOCKTON,CALAVERAS,9592,3858,N/A,38.1807654,-120.6779547,Have not applied
510004,CCWD - SHEEP RANCH,DISTRICT 10 - STOCKTON,CALAVERAS,134,48,N/A,38.1807654,-120.6779547,Have not applied
510019,CCWD - WALLACE,DISTRICT 10 - STOCKTON,CALAVERAS,340,110,N/A,38.1807654,-120.6779547,Have not applied
510005,CCWD - WEST POINT,DISTRICT 10 - STOCKTON,CALAVERAS,988,584,N/A,38.1807654,-120.6779547,Have not applied
5400655,CENTRAL MUTUAL WATER CO,DISTRICT 24 - TULARE,TULARE,119,41,N/A,36.08363,-119.313589,Have not applied
5010028,CERES  CITY OF,DISTRICT 10 - STOCKTON,STANISLAUS,48706,11777,N/A,37.5884146,-120.9546976,Have not applied
5610039,CHANNEL ISLANDS BEACH CSD,DISTRICT 06 - SANTA BARBARA,VENTURA,5180,1866,N/A,34.1594579,-119.2192061,Have not applied
3210009,CHESTER PUBLIC U.D.,DISTRICT 02 - LASSEN,PLUMAS,2316,1209,N/A,40.2912098,-121.2406199,Have not applied
2700634,CHETMOORE ACRES WA,LPA57 - MONTEREY COUNTY,MONTEREY,70,25,N/A,36.8440633,-121.6737007,Have not applied
3610036,CHINO HILLS  CITY OF,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,82490,21660,N/A,33.9990381,-117.7306405,Have not applied
3610012,CHINO  CITY OF,DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,78463,21739,N/A,34.0120229,-117.6786847,Have not applied
3110034,CHRISTIAN VALLEY PARK CSD,DISTRICT 02 - LASSEN,PLACER,1800,627,N/A,38.9111705,-121.0806932,Have not applied
3010001,CITY OF ANAHEIM,DISTRICT 08 - SANTA ANA,ORANGE,365987,62109,N/A,33.8346578,-117.9141443,Have not applied
