PWSID,contact_priority,opp_contact_date,follow_up_date
CA0103040,3,10/8/2021,
CA0105008,3,10/8/2021,
CA0110001,,,
CA0110003,,,
CA0110005,,,
CA0110006,,,
CA0110008,,,
CA0110009,1,10/8/2021,DDW
CA0110010,3,10/8/2021,
CA0110011,,,
CA0110012,,,
CA0110018,,,
CA0202503,2,10/8/2021,
CA0202504,,,
CA0210001,3,10/8/2021,
CA5710003,3,10/8/2021,
CA0300016,2,10/8/2021,
CA0300019,2,10/8/2021,
CA3610044,3,10/8/2021,11/15/2021
CA2410001,3,10/8/2021,11/15/2021
CA0310001,,,
CA0310002,,,
CA0310003,,,
CA0310004,1,10/8/2021,
CA0310005,,,
CA0310006,,,
CA3710702,3,10/8/2021,11/15/2021
CA0310012,,,
CA1910049,3,10/8/2021,11/15/2021
CA0310019,,,
CA0310021,,,
CA1510032,3,10/8/2021,11/15/2021
CA0400004,2,10/8/2021,
CA1510020,3,10/8/2021,11/15/2021
CA0400008,3,10/8/2021,
CA1510024,3,10/8/2021,11/15/2021
CA5410003,3,10/8/2021,11/15/2021
CA0400016,2,10/8/2021,
CA3110010,3,10/8/2021,11/15/2021
CA0400021,,,
CA0400023,,,
CA1910169,3,10/8/2021,11/15/2021
CA0400040,,,
CA0400041,,,
CA2410010,3,10/8/2021,11/15/2021
CA0400090,2,10/8/2021,
CA0400091,,,
CA2310004,3,10/8/2021,11/15/2021
CA2410006,3,10/8/2021,11/15/2021
CA0400151,2,10/8/2021,
CA1010026,3,10/8/2021,11/15/2021
CA0405001,,,
CA1910086,3,10/8/2021,11/15/2021
CA0409183,3,10/8/2021,
CA2710005,3,10/8/2021,11/15/2021
CA0410002,,,
CA0410003,1,10/8/2021,
CA0410004,,,
CA0410005,,,
CA0410006,,,
CA0410007,,,
CA0410008,1,10/8/2021,
CA0410009,,,
CA0410011,,,
CA0410012,2,10/8/2021,
CA0410018,,,
CA0510009,3,10/8/2021,11/15/2021
CA0500027,2,10/8/2021,
CA0500068,2,10/8/2021,
CA0500091,,,
CA0510001,,,
CA0510002,,,
CA0510003,,,
CA0510004,,,
CA0510005,,,
CA0510006,,,
CA3610009,3,10/8/2021,11/15/2021
CA0510010,,,
CA0510016,,,
CA0510017,,,
CA0510019,,,
CA5310001,3,10/8/2021,11/15/2021
CA0600008,2,10/8/2021,
CA2410012,3,10/8/2021,11/15/2021
CA1310005,3,10/8/2021,11/15/2021
CA0605011,,,
CA3710700,3,10/8/2021,11/15/2021
CA0610002,1,10/8/2021,
CA3310048,3,10/8/2021,11/15/2021
CA0610004,,,
CA0706004,3,10/8/2021,
CA5410008,3,10/8/2021,11/15/2021
CA2310006,3,10/8/2021,11/15/2021
CA0707507,2,10/8/2021,
CA0707517,3,10/8/2021,
CA0707519,3,10/8/2021,
CA0707523,,,
CA0707547,2,10/8/2021,
CA3610031,3,10/8/2021,11/15/2021
CA1910165,3,10/8/2021,11/15/2021
